<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.07.17	1.31529	1.31780	1.30828	1.31225	111677	0	1
2013.07.18	1.31226	1.31251	1.30658	1.31113	86580	0	1
2013.07.19	1.31117	1.31541	1.30889	1.31407	77590	0	1
2013.07.21	1.31267	1.31395	1.31267	1.31354	316	0	5
2013.07.22	1.31351	1.32177	1.31346	1.31834	72409	0	1
2013.07.23	1.31834	1.32383	1.31631	1.32229	74632	0	1
2013.07.24	1.32232	1.32559	1.31761	1.31972	93701	0	1
2013.07.25	1.31972	1.32955	1.31653	1.32755	94867	0	1
2013.07.26	1.32755	1.32964	1.32523	1.32771	75217	0	1
2013.07.28	1.32831	1.32833	1.32752	1.32788	293	0	7
2013.07.29	1.32790	1.32948	1.32388	1.32617	74743	0	1
2013.07.30	1.32616	1.33016	1.32340	1.32624	73768	0	1
2013.07.31	1.32624	1.33444	1.32081	1.32963	102818	0	1
2013.08.01	1.32985	1.33106	1.31929	1.32089	94012	0	1
2013.08.02	1.32093	1.32936	1.31876	1.32763	90448	0	1
2013.08.04	1.32780	1.32862	1.32752	1.32805	1184	0	3
2013.08.05	1.32805	1.33000	1.32323	1.32611	73166	0	1
2013.08.06	1.32610	1.33227	1.32458	1.33074	75655	0	1
2013.08.07	1.33076	1.33450	1.32653	1.33362	83992	0	1
2013.08.08	1.33362	1.33999	1.33276	1.33817	81291	0	1
2013.08.09	1.33816	1.33900	1.33322	1.33397	60938	0	1
2013.08.11	1.33148	1.33366	1.33137	1.33357	936	0	3
2013.08.12	1.33358	1.33437	1.32770	1.32989	55290	0	1
2013.08.13	1.32993	1.33170	1.32331	1.32624	81239	0	1
2013.08.14	1.32619	1.32801	1.32385	1.32576	65895	0	1
2013.08.15	1.32576	1.33626	1.32051	1.33505	96797	0	1
2013.08.16	1.33505	1.33796	1.33105	1.33254	68669	0	1
2013.08.18	1.33298	1.33420	1.33298	1.33347	788	0	1
2013.08.19	1.33353	1.33741	1.33148	1.33354	61964	0	1
2013.08.20	1.33354	1.34516	1.33230	1.34173	80260	0	1
2013.08.21	1.34174	1.34268	1.33350	1.33578	86835	0	1
2013.08.22	1.33580	1.33727	1.32977	1.33559	82279	0	1
2013.08.23	1.33560	1.34093	1.33329	1.33786	73143	0	1
2013.08.25	1.33778	1.33912	1.33778	1.33837	1032	0	2
2013.08.26	1.33833	1.33940	1.33562	1.33697	42409	0	1
2013.08.27	1.33700	1.33985	1.33222	1.33899	75059	0	1
2013.08.28	1.33906	1.33973	1.33047	1.33396	69848	0	1
2013.08.29	1.33399	1.33427	1.32188	1.32391	71227	0	1
2013.08.30	1.32392	1.32546	1.31728	1.32178	68848	0	1
2013.09.01	1.32114	1.32145	1.32036	1.32124	939	0	6
2013.09.02	1.32124	1.32268	1.31831	1.31956	48913	0	1
2013.09.03	1.31956	1.31966	1.31381	1.31661	65181	0	1
2013.09.04	1.31662	1.32180	1.31563	1.32040	55623	0	1
2013.09.05	1.32040	1.32228	1.31100	1.31176	77890	0	1
2013.09.06	1.31175	1.31891	1.31044	1.31781	65125	0	1
2013.09.08	1.31618	1.31782	1.31610	1.31735	1081	0	2
2013.09.09	1.31735	1.32805	1.31647	1.32531	54722	0	1
2013.09.10	1.32533	1.32754	1.32297	1.32656	54547	0	1
2013.09.11	1.32656	1.33241	1.32434	1.33107	59335	0	1
2013.09.12	1.33103	1.33245	1.32554	1.32993	60515	0	1
2013.09.13	1.32994	1.33213	1.32538	1.32948	60081	0	1
2013.09.15	1.33544	1.33774	1.33544	1.33680	3273	0	1
2013.09.16	1.33661	1.33852	1.33297	1.33349	53080	0	1
2013.09.17	1.33350	1.33690	1.33249	1.33577	44659	0	1
2013.09.18	1.33576	1.35423	1.33378	1.35082	77803	0	1
2013.09.19	1.35082	1.35681	1.35006	1.35285	80608	0	1
2013.09.20	1.35286	1.35484	1.34975	1.35221	57170	0	1
2013.09.22	1.35470	1.35515	1.35250	1.35297	730	0	1
2013.09.23	1.35300	1.35443	1.34792	1.34928	48088	0	1
2013.09.24	1.34927	1.35184	1.34641	1.34700	52379	0	1
2013.09.25	1.34702	1.35369	1.34614	1.35219	50973	0	1
2013.09.26	1.35217	1.35259	1.34721	1.34870	48761	0	1
2013.09.27	1.34870	1.35641	1.34738	1.35178	53039	0	1
2013.09.29	1.34899	1.34975	1.34772	1.34811	1760	0	1
2013.09.30	1.34809	1.35565	1.34773	1.35213	58899	0	1
2013.10.01	1.35212	1.35877	1.35165	1.35240	74936	0	1
2013.10.02	1.35238	1.36068	1.35043	1.35812	70450	0	1
2013.10.03	1.35812	1.36459	1.35772	1.36215	69358	0	1
2013.10.04	1.36215	1.36315	1.35379	1.35519	53953	0	1
2013.10.06	1.35625	1.35654	1.35600	1.35635	776	0	1
2013.10.07	1.35634	1.35907	1.35421	1.35761	47105	0	1
2013.10.08	1.35766	1.36067	1.35571	1.35725	47225	0	1
2013.10.09	1.35724	1.36043	1.34855	1.35231	73991	0	1
2013.10.10	1.35232	1.35462	1.34872	1.35251	60384	0	1
2013.10.11	1.35251	1.35812	1.35191	1.35418	57148	0	1
2013.10.13	1.35595	1.35636	1.35559	1.35565	639	0	2
2013.10.14	1.35559	1.35974	1.35450	1.35589	36942	0	1
2013.10.15	1.35587	1.35707	1.34790	1.35255	63778	0	1
2013.10.16	1.35246	1.35672	1.34718	1.35332	71484	0	1
2013.10.17	1.35336	1.36815	1.35153	1.36719	81364	0	1
2013.10.18	1.36716	1.37037	1.36590	1.36839	51882	0	1
2013.10.20	1.36834	1.36865	1.36808	1.36817	524	0	1
2013.10.21	1.36820	1.36882	1.36507	1.36762	41637	0	1
2013.10.22	1.36762	1.37918	1.36619	1.37776	53718	0	1
2013.10.23	1.37772	1.37927	1.37411	1.37750	59870	0	1
2013.10.24	1.37750	1.38249	1.37641	1.37992	64552	0	1
2013.10.25	1.37987	1.38320	1.37741	1.38004	62828	0	1
2013.10.27	1.38087	1.38104	1.38031	1.38076	1163	0	1
2013.10.28	1.38077	1.38174	1.37748	1.37828	39093	0	1
2013.10.29	1.37830	1.38130	1.37362	1.37463	58749	0	1
2013.10.30	1.37461	1.37850	1.36954	1.37216	60382	0	1
2013.10.31	1.37215	1.37383	1.35751	1.35875	66886	0	1
2013.11.01	1.35876	1.35890	1.34798	1.34862	58202	0	1
2013.11.03	1.34872	1.34967	1.34849	1.34897	926	0	1
2013.11.04	1.34901	1.35240	1.34415	1.35119	50145	0	1
2013.11.05	1.35117	1.35219	1.34488	1.34712	57380	0	1
2013.11.06	1.34710	1.35471	1.34673	1.35150	56792	0	1
2013.11.07	1.35149	1.35285	1.32946	1.34133	97430	0	1
2013.11.08	1.34134	1.34375	1.33175	1.33662	77216	0	1
2013.11.10	1.33566	1.33621	1.33531	1.33568	929	0	2
2013.11.11	1.33569	1.34158	1.33444	1.34063	43913	0	1
2013.11.12	1.34063	1.34558	1.33588	1.34344	69816	0	1
2013.11.13	1.34337	1.34972	1.33897	1.34813	71682	0	1
2013.11.14	1.34813	1.34938	1.34180	1.34582	71609	0	1
2013.11.15	1.34583	1.35051	1.34320	1.34946	52152	0	1
2013.11.17	1.34956	1.34981	1.34917	1.34917	494	0	2
2013.11.18	1.34908	1.35415	1.34741	1.35029	50940	0	1
2013.11.19	1.35031	1.35469	1.34874	1.35351	50608	0	1
2013.11.20	1.35352	1.35781	1.34150	1.34386	65307	0	1
2013.11.21	1.34387	1.34860	1.33990	1.34752	59051	0	1
2013.11.22	1.34753	1.35567	1.34619	1.35537	43036	0	1
2013.11.24	1.35479	1.35543	1.35474	1.35533	501	0	2
2013.11.25	1.35533	1.35598	1.34899	1.35216	39844	0	1
2013.11.26	1.35220	1.35745	1.35190	1.35668	42073	0	2
2013.11.27	1.35669	1.36123	1.35573	1.35776	44867	0	2
2013.11.28	1.35775	1.36183	1.35632	1.36026	31413	0	2
2013.11.29	1.36011	1.36212	1.35799	1.35886	43343	0	2
2013.12.01	1.35881	1.35920	1.35826	1.35882	644	0	2
2013.12.02	1.35883	1.36154	1.35257	1.35382	46323	0	2
2013.12.03	1.35382	1.36133	1.35240	1.35888	46436	0	2
2013.12.04	1.35890	1.36050	1.35279	1.35895	56521	0	2
2013.12.05	1.35896	1.36768	1.35428	1.36718	68835	0	2
2013.12.06	1.36718	1.37058	1.36194	1.37036	53998	0	2
2013.12.08	1.37109	1.37210	1.37106	1.37127	848	0	2
2013.12.09	1.37124	1.37455	1.36940	1.37349	34495	0	2
2013.12.10	1.37350	1.37944	1.37339	1.37587	40814	0	2
2013.12.11	1.37588	1.38103	1.37400	1.37861	42817	0	2
2013.12.12	1.37860	1.38029	1.37372	1.37494	52005	0	2
2013.12.13	1.37494	1.37688	1.37088	1.37403	41020	0	2
2013.12.15	1.37284	1.37373	1.37271	1.37372	419	0	2
2013.12.16	1.37375	1.37983	1.37361	1.37583	41198	0	2
2013.12.17	1.37584	1.37819	1.37228	1.37710	40436	0	2
2013.12.18	1.37709	1.38114	1.36727	1.36741	64254	0	2
2013.12.19	1.36742	1.36935	1.36491	1.36564	49309	0	2
2013.12.20	1.36570	1.37090	1.36245	1.36723	48424	0	2
2013.12.22	1.36714	1.36757	1.36675	1.36728	260	0	2
2013.12.23	1.36721	1.37163	1.36716	1.36957	29649	0	2
2013.12.24	1.36951	1.36987	1.36546	1.36815	19211	0	2
2013.12.26	1.36796	1.37017	1.36764	1.36885	15623	0	2
2013.12.27	1.36885	1.38930	1.36879	1.37463	48195	0	2
2013.12.29	1.37571	1.37693	1.37549	1.37606	593	0	9
2013.12.30	1.37604	1.38187	1.37279	1.37937	36339	0	8
2013.12.31	1.37939	1.38122	1.37593	1.37874	25265	0	8
2014.01.01	1.37599	1.37658	1.37493	1.37607	264	0	10
2014.01.02	1.37613	1.37746	1.36292	1.36659	59073	0	8
2014.01.03	1.36660	1.36716	1.35819	1.35851	46492	0	8
2014.01.05	1.35919	1.35998	1.35902	1.35998	803	0	9
2014.01.06	1.35998	1.36528	1.35710	1.36332	47467	0	8
2014.01.07	1.36334	1.36562	1.35964	1.36136	52627	0	8
2014.01.08	1.36135	1.36349	1.35532	1.35748	62186	0	2
2014.01.09	1.35748	1.36329	1.35482	1.36016	65182	0	2
2014.01.10	1.36020	1.36870	1.35695	1.36677	59141	0	2
2014.01.12	1.36725	1.36761	1.36666	1.36668	443	0	2
2014.01.13	1.36662	1.36844	1.36371	1.36681	49064	0	2
2014.01.14	1.36680	1.36991	1.36489	1.36722	50832	0	2
2014.01.15	1.36724	1.36760	1.35812	1.36041	51404	0	2
2014.01.16	1.36041	1.36494	1.35830	1.36162	54327	0	2
2014.01.17	1.36161	1.36208	1.35168	1.35391	48168	0	2
2014.01.19	1.35370	1.35380	1.35298	1.35318	689	0	2
2014.01.20	1.35320	1.35676	1.35074	1.35555	35840	0	2
2014.01.21	1.35556	1.35687	1.35161	1.35591	51544	0	2
2014.01.22	1.35591	1.35836	1.35344	1.35447	48558	0	2
2014.01.23	1.35448	1.36981	1.35302	1.36932	71934	0	2
2014.01.24	1.36930	1.37394	1.36623	1.36761	67773	0	2
2014.01.26	1.36762	1.36846	1.36729	1.36813	891	0	2
2014.01.27	1.36813	1.37163	1.36529	1.36726	54672	0	2
2014.01.28	1.36727	1.36882	1.36287	1.36517	49109	0	2
2014.01.29	1.36520	1.36846	1.36028	1.36608	71143	0	2
2014.01.30	1.36608	1.36642	1.35431	1.35564	65078	0	2
2014.01.31	1.35566	1.35732	1.34789	1.34851	70955	0	2
2014.02.02	1.34825	1.34902	1.34815	1.34861	744	0	2
2014.02.03	1.34863	1.35353	1.34768	1.35253	63168	0	2
2014.02.04	1.35252	1.35385	1.34931	1.35141	55362	0	2
2014.02.05	1.35138	1.35553	1.34986	1.35358	57062	0	2
2014.02.06	1.35358	1.36188	1.34826	1.35896	60594	0	2
2014.02.07	1.35899	1.36429	1.35518	1.36326	54521	0	2
2014.02.09	1.36142	1.36267	1.36142	1.36207	675	0	2
2014.02.10	1.36210	1.36513	1.36178	1.36440	36002	0	2
2014.02.11	1.36440	1.36829	1.36292	1.36369	50130	0	2
2014.02.12	1.36371	1.36524	1.35620	1.35948	51741	0	2
2014.02.13	1.35950	1.36919	1.35846	1.36785	54152	0	2
2014.02.14	1.36784	1.37146	1.36733	1.36907	44712	0	2
2014.02.16	1.37076	1.37080	1.36995	1.37004	339	0	3
2014.02.17	1.37004	1.37238	1.36918	1.37048	30258	0	2
2014.02.18	1.37051	1.37700	1.36944	1.37604	46097	0	2
2014.02.19	1.37601	1.37728	1.37242	1.37320	40140	0	2
2014.02.20	1.37321	1.37623	1.36841	1.37202	50459	0	2
2014.02.21	1.37202	1.37581	1.37018	1.37366	39356	0	2
2014.02.23	1.37324	1.37407	1.37312	1.37379	386	0	2
2014.02.24	1.37377	1.37710	1.37081	1.37334	39043	0	2
2014.02.25	1.37336	1.37669	1.37152	1.37447	44265	0	2
2014.02.26	1.37447	1.37572	1.36614	1.36829	50057	0	2
2014.02.27	1.36829	1.37265	1.36430	1.37080	49934	0	2
2014.02.28	1.37078	1.38248	1.36940	1.38011	63485	0	2
2014.03.02	1.37587	1.37859	1.37576	1.37742	1401	0	2
2014.03.03	1.37743	1.37924	1.37260	1.37361	52328	0	2
2014.03.04	1.37362	1.37815	1.37206	1.37395	48144	0	2
2014.03.05	1.37393	1.37491	1.37072	1.37362	46066	0	2
2014.03.06	1.37362	1.38729	1.37211	1.38595	60830	0	2
2014.03.07	1.38602	1.39150	1.38519	1.38761	52297	0	2
2014.03.09	1.38713	1.38770	1.38713	1.38760	735	0	2
2014.03.10	1.38755	1.38977	1.38614	1.38768	37838	0	2
2014.03.11	1.38767	1.38784	1.38335	1.38544	40659	0	2
2014.03.12	1.38545	1.39142	1.38431	1.39018	44399	0	2
2014.03.13	1.39018	1.39668	1.38453	1.38675	67353	0	2
2014.03.14	1.38676	1.39375	1.38474	1.39180	54637	0	2
2014.03.16	1.39128	1.39151	1.39038	1.39063	1071	0	2
2014.03.17	1.39065	1.39475	1.38788	1.39253	38480	0	2
2014.03.18	1.39251	1.39429	1.38797	1.39302	47424	0	2
2014.03.19	1.39310	1.39330	1.38093	1.38224	54008	0	2
2014.03.20	1.38224	1.38447	1.37490	1.37783	54200	0	2
2014.03.21	1.37783	1.38106	1.37655	1.37909	37915	0	2
2014.03.23	1.38004	1.38004	1.37878	1.37913	649	0	2
2014.03.24	1.37914	1.38758	1.37601	1.38380	43598	0	2
2014.03.25	1.38382	1.38470	1.37494	1.38248	55582	0	2
2014.03.26	1.38248	1.38264	1.37763	1.37830	47440	0	2
2014.03.27	1.37831	1.37967	1.37284	1.37437	53060	0	2
2014.03.28	1.37437	1.37730	1.37049	1.37497	44147	0	2
2014.03.30	1.37611	1.37624	1.37510	1.37535	395	0	2
2014.03.31	1.37530	1.38084	1.37228	1.37731	51933	0	2
2014.04.01	1.37730	1.38151	1.37689	1.37930	40070	0	2
2014.04.02	1.37930	1.38202	1.37531	1.37649	37573	0	2
2014.04.03	1.37649	1.38064	1.36980	1.37169	53428	0	2
2014.04.04	1.37170	1.37311	1.36725	1.37011	52107	0	2
2014.04.06	1.36967	1.37029	1.36959	1.37005	459	0	2
2014.04.07	1.37003	1.37484	1.36958	1.37416	30854	0	2
2014.04.08	1.37415	1.38114	1.37372	1.37943	44330	0	2
2014.04.09	1.37949	1.38618	1.37797	1.38532	46289	0	2
2014.04.10	1.38531	1.38990	1.38358	1.38867	45458	0	2
2014.04.11	1.38867	1.39056	1.38633	1.38828	39105	0	2
2014.04.13	1.38457	1.38600	1.38438	1.38594	961	0	8
2014.04.14	1.38595	1.38626	1.38078	1.38181	32608	0	8
2014.04.15	1.38181	1.38329	1.37898	1.38129	30831	0	8
2014.04.16	1.38128	1.38507	1.38033	1.38159	30469	0	8
2014.04.17	1.38158	1.38640	1.38107	1.38129	26260	0	2
2014.04.18	1.38131	1.38223	1.38057	1.38057	8367	0	2
2014.04.20	1.38108	1.38166	1.38108	1.38156	194	0	2
2014.04.21	1.38158	1.38304	1.37869	1.37945	14942	0	2
2014.04.22	1.37945	1.38246	1.37849	1.38054	29463	0	2
2014.04.23	1.38053	1.38545	1.38001	1.38160	39450	0	2
2014.04.24	1.38159	1.38427	1.37912	1.38314	39132	0	2
2014.04.25	1.38316	1.38481	1.38266	1.38307	28807	0	2
2014.04.27	1.38431	1.38432	1.38354	1.38392	338	0	2
2014.04.28	1.38398	1.38793	1.38145	1.38498	40355	0	2
2014.04.29	1.38498	1.38790	1.38054	1.38116	39638	0	2
2014.04.30	1.38116	1.38765	1.37738	1.38656	52296	0	2
2014.05.01	1.38652	1.38892	1.38626	1.38670	22964	0	2
2014.05.02	1.38671	1.38814	1.38120	1.38710	40897	0	2
2014.05.04	1.38833	1.38833	1.38708	1.38717	402	0	2
