<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.07.29	58703	58952	58009	58821	397618	5071207035	0
2011.08.01	58823	59542	58168	58536	374478	4169875704	0
2011.08.02	58526	58673	57259	57311	396515	5170468859	0
2011.08.03	57318	57352	55249	56017	527144	6533835612	0
2011.08.04	55999	55999	52629	52811	632364	7937067305	0
2011.08.05	52811	53866	51153	52949	646590	7166655964	0
2011.08.08	52938	52938	47793	48668	781982	7840014787	0
2011.08.09	48671	51151	48666	51151	815442	8514124045	0
2011.08.10	51151	52164	49947	51395	672283	6676217297	0
2011.08.11	51398	53724	51398	53343	606700	6830812715	0
2011.08.12	53344	53643	52650	53473	542284	5655983109	0
2011.08.15	53478	54968	53474	54652	395458	4433438091	0
2011.08.16	54651	54651	53539	54324	449813	4599217049	0
2011.08.17	54324	55073	53828	55073	610806	5337373860	0
2011.08.18	55037	55037	52246	53134	457351	5786581806	0
2011.08.19	53135	53601	52336	52448	404445	4725092473	0
2011.08.22	52472	53552	52397	52440	348223	3726737714	0
2011.08.23	52440	53787	51853	53787	432615	4689319771	0
2011.08.24	53787	54279	52993	53796	394369	4486959689	0
2011.08.25	53796	54155	52677	52953	415340	4169250021	0
2011.08.26	52955	53598	51971	53351	385545	4073559637	0
2011.08.29	53356	55027	53356	54861	397785	4186072521	0
2011.08.30	54861	55768	54425	55385	370557	4138467011	0
2011.08.31	55399	56495	55399	56495	445204	5570296187	0
2011.09.01	56498	58589	56498	58118	663585	7861633464	0
2011.09.02	58114	58114	56302	56532	470741	5749943153	0
2011.09.05	56521	56521	54818	54998	265414	2678871227	0
2011.09.06	54998	56676	54121	56607	442837	5105569757	0
2011.09.08	56609	58242	56609	57624	468192	5035756530	0
2011.09.09	57614	57614	55528	55778	417161	4356315526	0
2011.09.12	55773	55792	54310	55685	417038	4203310922	0
2011.09.13	55690	56336	55166	55544	383904	4014912896	0
2011.09.14	55544	56776	55090	56286	461684	5017906944	0
2011.09.15	56287	57161	56196	56381	375943	4048234869	0
2011.09.16	56381	57210	56257	57210	309255	3827602994	0
2011.09.19	57208	57208	56060	57103	389001	4859043535	0
2011.09.20	57105	57620	56379	56379	451971	4966559351	0
2011.09.21	56381	57600	55915	55982	495896	5415691484	0
2011.09.22	55981	55981	52706	53280	634127	6559912224	0
2011.09.23	53273	53855	52754	53230	519981	5040115891	0
2011.09.26	53243	53873	52399	53748	431245	4027469175	0
2011.09.27	53751	54992	53751	53920	425270	4377557839	0
2011.09.28	53921	54796	53258	53270	371420	4100135874	0
2011.09.29	53276	54207	52849	53385	405117	4144534881	0
2011.09.30	53385	53385	51897	52324	472011	5055217851	0
2011.10.03	52319	52319	50792	50792	538190	5093413513	0
2011.10.04	50790	50790	49433	50686	635522	6375775958	0
2011.10.05	50683	51199	50209	51014	482622	4598811593	0
2011.10.06	51016	52729	51016	52290	470584	5087780967	0
2011.10.07	52290	52891	50902	51244	497841	4401439715	0
2011.10.10	51244	53294	51244	53273	406057	4014095651	0
2011.10.11	53271	54113	52820	53838	481909	5071090153	0
2011.10.13	53836	54751	53308	54601	721177	6583302928	0
2011.10.14	54603	55179	54447	55030	354798	4549075218	0
2011.10.17	55021	55021	53536	53911	347505	4343735557	0
2011.10.18	53915	55225	53188	55032	431920	4928724476	0
2011.10.19	55037	55244	54483	54966	456954	4829578108	0
2011.10.20	54953	54953	53610	54010	441761	4473643987	0
2011.10.21	54014	55504	54014	55255	404865	4026119585	0
2011.10.24	55259	57226	55259	56892	458965	5533592234	0
2011.10.25	56885	56885	55770	56286	424276	4495407544	0
