<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.09.18	13:00:00	104136	104370	104136	104164	478432	4339733910	0
2019.09.18	14:00:00	104162	104484	104151	104346	579955	5067857970	0
2019.09.18	15:00:00	104320	104517	103684	103967	926436	8859271240	0
2019.09.18	16:00:00	104011	104532	103938	104532	933501	13395704010	0
2019.09.19	10:00:00	104555	106001	104555	105638	534323	7408848343	0
2019.09.19	11:00:00	105591	105721	105229	105509	511256	5318026370	0
2019.09.19	12:00:00	105510	105602	105420	105509	388349	3464145060	0
2019.09.19	13:00:00	105504	105536	105117	105160	379521	3485702340	0
2019.09.19	14:00:00	105148	105291	104982	105080	385737	3594275700	0
2019.09.19	15:00:00	105075	105227	104748	104767	461292	4236011530	0
2019.09.19	16:00:00	104760	104787	104286	104339	745384	10167745081	0
2019.09.20	10:00:00	104339	104912	104339	104629	133536	1610197034	0
2019.09.20	11:00:00	104588	104682	104162	104287	118854	1305852562	0
2019.09.20	12:00:00	104312	104698	104224	104629	147313	1455118512	0
2019.09.20	13:00:00	104643	104885	104614	104766	149089	1369795313	0
2019.09.20	14:00:00	104757	105045	103914	104425	191634	1766863799	0
2019.09.20	15:00:00	104473	104885	104473	104715	183658	1610217467	0
2019.09.20	16:00:00	104715	104818	104545	104817	193843	9259973879	0
2019.09.23	10:00:00	104817	104817	104112	104321	114056	1491437526	0
2019.09.23	11:00:00	104321	104350	104020	104229	119340	1239850032	0
2019.09.23	12:00:00	104254	104660	104254	104475	110131	1205217367	0
2019.09.23	13:00:00	104456	104548	104364	104425	82843	765276009	0
2019.09.23	14:00:00	104391	104582	104391	104435	92944	781754528	0
2019.09.23	15:00:00	104437	104521	104370	104400	112272	919164578	0
2019.09.23	16:00:00	104398	104659	104398	104638	145183	1974644933	0
2019.09.24	10:00:00	104638	104893	103991	103991	117477	1435066056	0
2019.09.24	11:00:00	103875	104267	103875	104163	134911	1475016243	0
2019.09.24	12:00:00	104162	104167	104017	104078	111033	1084029937	0
2019.09.24	13:00:00	104064	104169	103504	103567	136304	1305155951	0
2019.09.24	14:00:00	103562	103867	103536	103668	121855	1063350163	0
2019.09.24	15:00:00	103656	104015	103586	103751	171914	1431400699	0
2019.09.24	16:00:00	103754	103895	103708	103876	177689	2637855571	0
2019.09.25	10:00:00	103857	103890	103461	103541	142636	1701543749	0
2019.09.25	11:00:00	103539	103581	103034	103531	175208	1840788643	0
2019.09.25	12:00:00	103510	104013	103510	103785	139460	1431879198	0
2019.09.25	13:00:00	103802	103879	103690	103808	107517	808482566	0
2019.09.25	14:00:00	103797	103941	103642	103941	116922	875121560	0
2019.09.25	15:00:00	103967	104347	103956	104272	163692	1469224697	0
2019.09.25	16:00:00	104282	104481	104276	104481	189240	2355198571	0
2019.09.26	10:00:00	104485	104852	104462	104682	117105	1371897888	0
2019.09.26	11:00:00	104667	104782	104438	104535	124052	1193846929	0
2019.09.26	12:00:00	104539	105071	104337	105064	137028	1511941428	0
2019.09.26	13:00:00	105033	105209	104980	105003	101022	1039313890	0
2019.09.26	14:00:00	105015	105060	104759	104860	120686	1125026944	0
2019.09.26	15:00:00	104934	105060	104841	104877	152082	1641054483	0
2019.09.26	16:00:00	104864	105342	104864	105319	205944	2674258922	0
2019.09.27	10:00:00	105319	105396	105092	105137	116509	1470024688	0
2019.09.27	11:00:00	105154	105272	104975	105193	110566	1147894807	0
2019.09.27	12:00:00	105179	105633	105084	105195	127863	1338090913	0
2019.09.27	13:00:00	105191	105191	104777	104790	97742	823403276	0
2019.09.27	14:00:00	104778	104833	104632	104702	98920	824938199	0
2019.09.27	15:00:00	104777	104796	104506	104638	129793	1169622159	0
2019.09.27	16:00:00	104682	105167	104682	105078	169840	2448474981	0
2019.09.30	10:00:00	105078	105154	104886	104886	107376	1054550223	0
2019.09.30	11:00:00	104926	105178	104771	104833	121343	1312236317	0
2019.09.30	12:00:00	104842	104877	104706	104776	115437	1045517058	0
2019.09.30	13:00:00	104774	104921	104638	104877	122751	859634997	0
2019.09.30	14:00:00	104901	105074	104818	104985	142000	932862725	0
2019.09.30	15:00:00	104981	105125	104899	104990	161636	1105653427	0
2019.09.30	16:00:00	104975	105017	104741	104745	195178	3577311885	0
2019.10.01	10:00:00	104745	105121	104743	104865	135410	1505519797	0
2019.10.01	11:00:00	104863	104863	104101	104337	165943	1768799037	0
2019.10.01	12:00:00	104355	104430	104165	104201	123303	1206310068	0
2019.10.01	13:00:00	104209	104209	103968	104106	108103	1086968205	0
2019.10.01	14:00:00	104077	104185	103849	103919	116378	970857995	0
2019.10.01	15:00:00	103891	104110	103838	104033	136116	1146126205	0
2019.10.01	16:00:00	104038	104106	103926	104053	169544	2516854652	0
2019.10.02	10:00:00	104049	104049	102083	102137	167532	2201047123	0
2019.10.02	11:00:00	102183	102294	101660	101878	197253	2021727783	0
2019.10.02	12:00:00	101878	101942	101475	101494	152180	1372854645	0
2019.10.02	13:00:00	101512	101512	100985	101040	152917	1365835768	0
2019.10.02	14:00:00	101029	101247	100944	101057	153245	1295102171	0
2019.10.02	15:00:00	101040	101575	101022	101564	171098	1600609768	0
2019.10.02	16:00:00	101564	101624	101030	101031	221978	2941205385	0
2019.10.03	10:00:00	101031	101274	100603	101132	132329	1514128060	0
2019.10.03	11:00:00	101088	101088	99826	100689	214968	2556412018	0
2019.10.03	12:00:00	100751	101560	100603	100603	157989	1699335812	0
2019.10.03	13:00:00	100669	100904	100462	100897	120152	996759233	0
2019.10.03	14:00:00	100878	101241	100862	100881	121006	1094904247	0
2019.10.03	15:00:00	100927	101190	100808	101082	129302	1142412075	0
2019.10.03	16:00:00	101078	101516	100752	101516	193792	2828493791	0
2019.10.04	10:00:00	101531	101666	101163	101437	149022	1914859075	0
2019.10.04	11:00:00	101471	101739	101057	101242	190478	2315753494	0
2019.10.04	12:00:00	101223	101531	101068	101160	131654	1312973875	0
2019.10.04	13:00:00	101121	101573	101121	101573	97022	947627734	0
2019.10.04	14:00:00	101581	101878	101560	101813	107838	1049832122	0
2019.10.04	15:00:00	101819	102127	101691	102109	141852	1379756655	0
2019.10.04	16:00:00	102107	102580	102107	102551	214325	3344786883	0
2019.10.07	10:00:00	102546	102546	101861	102214	120077	1535189886	0
2019.10.07	11:00:00	102099	102441	102013	102122	125246	1368566832	0
2019.10.07	12:00:00	102135	102210	101608	101800	106661	916649324	0
2019.10.07	13:00:00	101813	101860	101188	101374	118541	927578001	0
2019.10.07	14:00:00	101429	101856	101281	101856	132305	1041476039	0
2019.10.07	15:00:00	101848	101894	100860	100998	173688	1441885158	0
2019.10.07	16:00:00	101019	101032	100542	100573	219416	2927456652	0
2019.10.08	10:00:00	100565	101027	100561	100668	137788	2013380803	0
2019.10.08	11:00:00	100625	101237	100335	101237	166487	1678673155	0
2019.10.08	12:00:00	101285	101296	100579	100654	127040	1185632147	0
2019.10.08	13:00:00	100645	100989	100459	100545	112367	873508593	0
2019.10.08	14:00:00	100551	101020	100530	100699	113486	812951753	0
2019.10.08	15:00:00	100677	101042	100014	100390	175322	1383904670	0
2019.10.08	16:00:00	100320	100565	99868	99981	245067	2975490858	0
2019.10.09	10:00:00	100005	100777	100005	100570	262736	3141723422	0
2019.10.09	11:00:00	100582	100702	100228	100342	247080	2708371352	0
2019.10.09	12:00:00	100366	100641	100177	100545	193310	2561038642	0
2019.10.09	13:00:00	100546	100914	100437	100911	200056	1705214100	0
2019.10.09	14:00:00	100915	101330	100851	101268	233497	2106576475	0
2019.10.09	15:00:00	101260	101567	101175	101463	294252	2601035354	0
2019.10.09	16:00:00	101468	101566	101170	101249	365342	4245827430	0
2019.10.10	10:00:00	101262	102191	101152	102174	119662	1919655623	0
2019.10.10	11:00:00	102133	102436	101987	102381	139240	1701255663	0
2019.10.10	12:00:00	102379	102483	102217	102222	111917	1100812595	0
2019.10.10	13:00:00	102199	102254	101751	101875	99344	884006419	0
2019.10.10	14:00:00	101875	102076	101683	101889	98546	1197600577	0
2019.10.10	15:00:00	101915	101965	101276	101641	142032	1263992402	0
2019.10.10	16:00:00	101663	101849	101565	101817	169978	2535136177	0
2019.10.11	10:00:00	101819	103600	101819	103572	142837	1934251301	0
2019.10.11	11:00:00	103677	104040	103620	103758	194087	2104191485	0
2019.10.11	12:00:00	103786	104119	103749	103870	154723	1404991732	0
2019.10.11	13:00:00	103856	104038	103706	103960	119448	1153375876	0
2019.10.11	14:00:00	103984	104381	103677	103893	147951	1568840120	0
2019.10.11	15:00:00	103891	103891	103579	103766	140792	1242740582	0
2019.10.11	16:00:00	103789	104075	103622	103832	201372	2641214743	0
2019.10.14	10:00:00	103834	104049	103439	103922	108416	1289873639	0
2019.10.14	11:00:00	103919	104261	103900	104158	106410	1462764113	0
2019.10.14	12:00:00	104158	104234	104005	104014	87424	884257321	0
2019.10.14	13:00:00	104002	104189	103921	104012	89263	741487612	0
2019.10.14	14:00:00	104003	104104	103816	104060	83208	688858340	0
2019.10.14	15:00:00	104061	104100	103950	103998	97020	857210380	0
2019.10.14	16:00:00	103993	104305	103988	104302	148364	1972961825	0
2019.10.15	10:00:00	104299	104618	104053	104152	125529	1594537344	0
2019.10.15	11:00:00	104145	104862	104116	104862	154932	1796142866	0
2019.10.15	12:00:00	104874	105048	104815	104927	147556	1423497046	0
2019.10.15	13:00:00	104907	104964	104830	104950	106792	872765952	0
2019.10.15	14:00:00	104979	105039	104849	104882	118266	1020178892	0
2019.10.15	15:00:00	104868	104886	104654	104706	142837	1441041078	0
2019.10.15	16:00:00	104726	104726	104489	104490	183743	3238618233	0
2019.10.16	10:00:00	104486	104587	103611	103885	140078	1982427249	0
2019.10.16	11:00:00	103889	104268	103521	104077	141242	1580675209	0
2019.10.16	12:00:00	104099	104296	103954	104264	113766	1126644269	0
2019.10.16	13:00:00	104256	104294	103872	104285	99691	1021937926	0
2019.10.16	14:00:00	104299	104879	104299	104823	138420	1814239976	0
2019.10.16	15:00:00	104826	105216	104801	105204	185246	1872266795	0
2019.10.16	16:00:00	105198	105462	105071	105423	205723	3289077741	0
2019.10.17	10:00:00	105389	105891	105374	105695	154283	2016462608	0
2019.10.17	11:00:00	105749	105749	105002	105309	158902	1793048227	0
2019.10.17	12:00:00	105305	105432	104827	104998	108456	1122680631	0
2019.10.17	13:00:00	105038	105159	104953	105133	103854	985001869	0
2019.10.17	14:00:00	105151	105485	104919	105430	121757	1311098544	0
2019.10.17	15:00:00	105420	105420	105086	105171	135047	1267016429	0
2019.10.17	16:00:00	105174	105185	104950	105016	161053	2951097229	0
2019.10.18	10:00:00	105012	105284	104910	105118	128083	2681541522	0
2019.10.18	11:00:00	105188	105464	105032	105068	134478	1601217433	0
2019.10.18	12:00:00	105078	105102	104787	104863	108578	1298870242	0
2019.10.18	13:00:00	104855	104990	104525	104688	94030	1077598729	0
2019.10.18	14:00:00	104690	104915	104620	104760	101868	1055258941	0
2019.10.18	15:00:00	104812	104891	104762	104813	128550	1281126990	0
2019.10.18	16:00:00	104816	104949	104574	104729	169716	3449590071	0
2019.10.21	10:00:00	104729	105057	104729	104827	109855	1591828724	0
2019.10.21	11:00:00	104851	104993	104696	104978	92668	1049930217	0
2019.10.21	12:00:00	104989	105073	104713	104967	104961	931732058	0
2019.10.21	13:00:00	104973	105201	104924	105118	82326	800221817	0
2019.10.21	14:00:00	105129	105386	105102	105366	109535	1075063861	0
2019.10.21	15:00:00	105349	105777	105326	105707	142968	1451315233	0
2019.10.21	16:00:00	105739	106027	105683	106022	167453	2586698588	0
2019.10.22	10:00:00	106023	106851	105927	106851	157598	1968568407	0
2019.10.22	11:00:00	106916	107063	106794	106826	147839	1954861053	0
2019.10.22	12:00:00	106834	107421	106799	107196	175033	2272966311	0
2019.10.22	13:00:00	107184	107318	107070	107221	154731	1613831046	0
2019.10.22	14:00:00	107272	107366	107078	107269	153803	1423097652	0
2019.10.22	15:00:00	107276	107282	106940	107050	164294	1855323986	0
2019.10.22	16:00:00	107063	107382	107014	107381	219338	3142725186	0
2019.10.23	10:00:00	107381	107750	107041	107644	148328	2123684249	0
2019.10.23	11:00:00	107650	107959	107629	107919	163505	2111364310	0
2019.10.23	12:00:00	107889	107889	107445	107561	132773	1473630301	0
2019.10.23	13:00:00	107567	107568	107134	107517	139865	1325177605	0
2019.10.23	14:00:00	107493	107558	107339	107413	137552	1252258084	0
2019.10.23	15:00:00	107403	107782	107326	107633	183077	1580082240	0
2019.10.23	16:00:00	107628	107777	107453	107544	200669	3292706107	0
2019.10.24	10:00:00	107553	107744	107001	107142	174303	2747739998	0
2019.10.24	11:00:00	107109	107428	107036	107377	172517	2269934630	0
2019.10.24	12:00:00	107376	107411	107158	107158	162001	1585274597	0
2019.10.24	13:00:00	107125	107125	106950	107050	164393	1421656406	0
2019.10.24	14:00:00	107043	107066	106623	106623	163125	1611343316	0
2019.10.24	15:00:00	106611	106926	106593	106780	181697	1708191542	0
2019.10.24	16:00:00	106774	107096	106631	106986	222408	3843873229	0
2019.10.25	10:00:00	106990	108083	106990	107786	194729	3190927056	0
2019.10.25	11:00:00	107709	107721	107160	107358	162329	2267236424	0
2019.10.25	12:00:00	107340	107731	107227	107402	178626	1789755157	0
2019.10.25	13:00:00	107393	107470	106997	107158	120997	1211498274	0
2019.10.25	14:00:00	107131	107331	107118	107248	134633	1394686524	0
2019.10.25	15:00:00	107264	107444	107189	107388	164237	1530449743	0
2019.10.25	16:00:00	107364	107464	107328	107364	229674	2823781175	0
2019.10.28	10:00:00	107366	107944	107363	107944	110460	1697549538	0
2019.10.28	11:00:00	107952	108003	107743	107848	121448	1772646348	0
2019.10.28	12:00:00	107844	108026	107725	107887	116249	1107148788	0
2019.10.28	13:00:00	107892	108056	107863	107979	103510	928473523	0
2019.10.28	14:00:00	107977	108295	107907	108206	128425	1189400871	0
2019.10.28	15:00:00	108219	108393	108124	108124	139117	1349868972	0
2019.10.28	16:00:00	108128	108252	108096	108187	163832	3092588478	0
2019.10.29	10:00:00	108189	108195	107405	107667	130964	1996083496	0
2019.10.29	11:00:00	107667	108044	107492	108018	134506	1688695198	0
2019.10.29	12:00:00	107981	107983	107736	107736	122510	1337925051	0
2019.10.29	13:00:00	107738	107819	107629	107795	116194	996441070	0
2019.10.29	14:00:00	107800	107890	107686	107728	124695	1190203531	0
2019.10.29	15:00:00	107686	107862	107458	107458	146059	1297053177	0
2019.10.29	16:00:00	107374	107567	107313	107556	208064	2833689077	0
2019.10.30	10:00:00	107557	107557	106724	106745	144629	2144936274	0
2019.10.30	11:00:00	106704	107010	106622	107010	165773	2390193615	0
2019.10.30	12:00:00	107036	107090	106943	107063	123994	1324685959	0
2019.10.30	13:00:00	107061	107216	107022	107105	111100	1616160481	0
2019.10.30	14:00:00	107112	107352	107075	107268	116289	1427141729	0
2019.10.30	15:00:00	107210	107903	107126	107841	195660	2262783802	0
2019.10.30	16:00:00	107811	108408	107811	108408	286157	3716493810	0
2019.10.31	10:00:00	108403	108403	106832	106838	161181	2581571864	0
2019.10.31	11:00:00	106828	106829	106356	106759	187260	2387901151	0
2019.10.31	12:00:00	106706	106964	106622	106838	145207	1656644755	0
2019.10.31	13:00:00	106825	106848	106593	106781	122585	1129795753	0
2019.10.31	14:00:00	106790	106939	106726	106892	127766	1195686898	0
2019.10.31	15:00:00	106853	107126	106751	107021	156703	1636370586	0
2019.10.31	16:00:00	107016	107308	107016	107220	223032	4553790834	0
2019.11.01	10:00:00	107221	108361	107220	108267	185322	2807525576	0
2019.11.01	11:00:00	108235	108475	108005	108131	177579	2194433418	0
2019.11.01	12:00:00	108134	108277	107949	108216	143197	1745401134	0
2019.11.01	13:00:00	108224	108378	108071	108305	146914	1344441049	0
2019.11.01	14:00:00	108319	108496	108305	108353	145142	1633478383	0
2019.11.01	15:00:00	108358	108358	107647	108126	200649	2607207089	0
2019.11.01	16:00:00	108089	108340	108032	108196	225781	3666885455	0
2019.11.04	10:00:00	108196	109352	108196	109121	113076	2444634407	0
2019.11.04	11:00:00	109128	109201	108639	108640	133649	2254005604	0
2019.11.04	12:00:00	108633	108805	108467	108805	131976	2047477642	0
2019.11.04	13:00:00	108802	108953	108616	108624	102788	1128508948	0
2019.11.04	14:00:00	108565	108731	108423	108604	107585	1060986313	0
2019.11.04	15:00:00	108595	108635	108388	108524	132160	1521483542	0
2019.11.04	16:00:00	108530	108725	108495	108581	155350	1721650054	0
2019.11.04	17:00:00	108608	108780	108577	108779	155673	2592029444	0
2019.11.05	10:00:00	108779	109343	108681	108807	150952	2663479201	0
2019.11.05	11:00:00	108815	108951	108485	108894	146511	2034727648	0
2019.11.05	12:00:00	108888	108948	108516	108634	122850	1505965114	0
